Temps [ms]	Robot Operateur q1 [rad]	Robot Operateur q2 [rad]	Robot Teleopere q1 [rad]	Robot Teleopere q2 [rad]	Robot Operateur x [m]	Robot Operateur y [m]	Robot Teleopere x [m]	Robot Teleopere y [m]	Commande Operateur q1 [rad]	Commande Operateur q2 [rad]	
0	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
5	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
10	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
15	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
20	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
25	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
30	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
35	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
40	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
45	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
50	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
55	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
60	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
65	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
70	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
75	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
80	-0.195	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
85	-0.194	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
90	-0.194	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
95	-0.194	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
100	-0.194	-1.57	-0.193	-1.57	0.197	-0.294	0.198	-0.293	0	0	
105	-0.194	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
110	-0.193	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
115	-0.193	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
120	-0.193	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
125	-0.192	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
130	-0.192	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
135	-0.191	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
140	-0.191	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
145	-0.191	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
150	-0.19	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
155	-0.19	-1.57	-0.193	-1.57	0.197	-0.293	0.198	-0.293	0	0	
